27	10	6	31	17.3	1.362202	4.000798
40	15	14	55	5.5	    0.856075	2.168925
41	15	14	120	2.9	    2.658720	0.82128
24	2	0	28	17.3	1.787436	3.056564
41	5	5	25	10.2	0.392700	2.1573
39	20	9	67	30.6	3.833874	16.668126
43	12	11	38	3.6	    0.128592	1.239408
24	3	4	19	24.4	1.358348	3.277652
36	0	13	25	19.7	2.777700	2.1473
27	0	1	16	1.7	    0.182512	0.089488
25	4	0	23	5.2	    0.252356	0.943644
52	24	14	64	10  	3.929600	2.4704
37	6	9	29	16.3	1.715901	3.011099
48	22	15	100	9.1	    3.703700	5.3963
36	10	7	49	8.6     0.817516	3.396484
36	13	6	41	16.4	2.918216	3.805784
43	23	19	72	7.6	    1.181952	4.290048
39	6	9	61	5.7	    0.563274	2.913726
41	0	21	26	1.7	    0.099008	0.342992
39	22	3	52	3.2	    1.154816	0.509184
47	17	21	43	5.6	    0.587552	1.820448
28	3	6	26	10	    0.431600	2.1684
29	8	6	27	9.8	    0.402192	2.243808
21	1	2	16	18	    0.241920	2.63808
25	0	2	32	17.6	2.140160	3.49184
